case_name,seed,face_x_idx,face_x_coord,Q_face_mean,Q_face_median,Qp_face_mean,Qp_face_median,Q_borehole_mean,Qp_borehole_mean,Q_ratio,Q_difference,Q_log_ratio,Qp_ratio,Qp_difference,face_joints_count,face_rqd_practical,face_rqd_mean,face_rqd_min_dir,RQD_borehole_direct,RQD_borehole_hudson,lambda_borehole,borehole_n_intersections_total,RQD_face_scanline,lambda_face_scanline,RQD_face_scanline_hudson,face_scanline_n_intersections,Jv_face,Jv_method,RQD_face_jv,RQD_face_conservative,RQD_diff_bh_direct_minus_face_scanline,RQD_diff_bh_hudson_minus_face_scanline,RQD_diff_bh_direct_minus_face_jv,RQD_diff_bh_hudson_minus_face_jv,RQD_absdiff_bh_direct_face_scanline,RQD_absdiff_bh_hudson_face_scanline,RQD_absdiff_bh_direct_face_jv,RQD_absdiff_bh_hudson_face_jv,face_joint_count,bh_union_fracture_count,common_union_fracture_count,missed_union_fracture_count,miss_ratio_union,detection_ratio_union,face_area,window_length,face_fracture_density,bh_fracture_frequency_mean,bh_union_fracture_frequency,common_fracture_density,missed_fracture_density,face_orientation_bias,bh_union_orientation_bias,orientation_bias_gap,Q_match_strict,Q_match_normal,Q_match_loose,Qp_match_strict,Qp_match_normal,Qp_match_loose,face_RQD_mean,face_RQD_median,face_RQD_std,face_RQD_min,face_RQD_max,face_RQD_n_points,face_Jn_mean,face_Jn_median,face_Jn_std,face_Jn_min,face_Jn_max,face_Jn_n_points,face_Jr_mean,face_Jr_median,face_Jr_std,face_Jr_min,face_Jr_max,face_Jr_n_points,face_Ja_mean,face_Ja_median,face_Ja_std,face_Ja_min,face_Ja_max,face_Ja_n_points,face_Jw_mean,face_Jw_median,face_Jw_std,face_Jw_min,face_Jw_max,face_Jw_n_points,face_SRF_mean,face_SRF_median,face_SRF_std,face_SRF_min,face_SRF_max,face_SRF_n_points,face_Q_mean,face_Q_median,face_Q_std,face_Q_min,face_Q_max,face_Q_n_points,face_Qprime_mean,face_Qprime_median,face_Qprime_std,face_Qprime_min,face_Qprime_max,face_Qprime_n_points
scenario_05_orthogonal_two_sets,55,20,20.5,23.87644222478226,20.779743727109672,26.094651818685442,26.09465181868544,24.35581244015924,27.378498377401826,1.0200771208232784,0.47937021537698143,0.008633006940219179,1.0491996048706451,1.2838465587163839,181,100.0,100.0,100.0,96.93877446725322,97.59918473684273,2.2857142857142856,16,100.0,0.1,99.99503320866597,1,3.0,P32_derived_Jv_proxy,100.0,100.0,-3.061225532746775,-2.40081526315727,-3.061225532746775,-2.40081526315727,3.061225532746775,2.40081526315727,3.061225532746775,2.40081526315727,181,16,6,175,0.9668508287292817,0.03314917127071823,78.53981633974483,7.0,2.3045635759706444,2.2857142857142856,2.2857142857142856,0.07639437268410976,2.2281692032865346,0.3414133177891846,0.16172294252156105,0.17969037526762355,1,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.575150673545316,1.575150673545316,0.32871858982855956,0.5994732418012746,2.460566391387852,81,1.5090742391295364,1.5090742391295364,0.4169867385732139,0.75,2.923981476462277,81,0.8010471372126292,0.7944372582919701,0.08488077615597643,0.5958170217276738,1.0,81,0.9707604475528432,0.9928709735218786,0.29156754547026437,0.5,1.7580939475872595,81,23.87644222478226,20.779743727109672,8.76182284898933,12.813949513651082,52.18930363737088,81,26.094651818685442,26.09465181868544,3.552713678800501e-15,26.09465181868544,26.09465181868544,81
scenario_05_orthogonal_two_sets,55,30,30.5,22.69760510279167,21.317060575499042,25.817958326019582,25.817958326019586,28.7871191925349,27.588975812692688,1.2682888376181263,6.089514089743229,0.10321817018517554,1.0685963415197033,1.7710174866731059,177,100.0,100.0,100.0,98.21446538672022,98.4938250997816,1.5714285714285714,11,100.0,0.2,99.98026467728904,2,3.0,P32_derived_Jv_proxy,100.0,100.0,-1.7855346132797791,-1.5061749002183973,-1.7855346132797791,-1.5061749002183973,1.7855346132797791,1.5061749002183973,1.7855346132797791,1.5061749002183973,177,11,1,176,0.9943502824858758,0.005649717514124294,78.53981633974483,7.0,2.253633994181238,1.5714285714285714,1.5714285714285714,0.012732395447351627,2.2409015987338865,0.37616238728611506,0.14156114799468145,0.23460123929143362,0,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.5623643693420706,1.5623643693420706,0.2935613629172695,0.6734191182428229,2.427946751914781,81,1.5128659183785118,1.5128659183785118,0.376995333031431,0.75,2.572752618653904,81,0.8038330925410956,0.8132630357124913,0.09222684588255507,0.5662557170820526,1.0,81,0.983951961308957,0.9627312064317265,0.25845668368527064,0.5,1.705656508152421,81,22.69760510279167,21.317060575499042,7.061163530444872,10.92057159576443,48.88119407428078,81,25.817958326019582,25.817958326019586,3.552713678800501e-15,25.817958326019586,25.817958326019586,81
scenario_05_orthogonal_two_sets,56,10,10.5,22.803322463909893,20.956087674247453,26.91727684709656,26.91727684709656,23.42840406987932,30.41696675527862,1.0274118653963134,0.6250816059694273,0.011744577006761459,1.1300164919379485,3.4996899081820594,190,99.76702277960591,99.76702277960591,99.76702277960591,97.30500396179137,98.9201649138366,1.0,7,99.76702277960591,0.6,99.82704055993037,6,3.0,P32_derived_Jv_proxy,100.0,99.76702277960591,-2.4620188178145384,-0.8468578657693087,-2.694996038208629,-1.0798350861633992,2.4620188178145384,0.8468578657693087,2.694996038208629,1.0798350861633992,190,7,4,186,0.9789473684210527,0.021052631578947368,78.53981633974483,7.0,2.4191551349968092,1.0,1.0,0.05092958178940651,2.368225553207403,0.41552504531214374,0.1122780584104559,0.30324698690168783,1,1,1,1,1,1,99.76702277960591,99.76702277960591,0.0,99.76702277960591,99.76702277960591,81,4.0,4.0,0.0,4.0,4.0,81,1.6081139316163737,1.6081139316163737,0.2867912833266328,0.8596498013495572,2.445942752247148,81,1.4900907339097893,1.4900907339097893,0.37220593328651386,0.75,2.420756419015939,81,0.7823589503379773,0.790194484838452,0.09917952678137605,0.518969045191373,0.9820108223489054,81,1.0079947474217688,1.007768193717179,0.27464169171945974,0.5,1.720549897063656,81,22.803322463909893,20.956087674247453,8.135972000799805,11.471891129114903,52.18724815984961,81,26.91727684709656,26.91727684709656,0.0,26.91727684709656,26.91727684709656,81
scenario_05_orthogonal_two_sets,56,20,20.5,23.72362882437906,21.613434415543995,27.22835185196019,27.228351851960188,18.006941593987484,23.77068718284412,0.7590298148436319,-5.716687230391575,-0.11974116459495909,0.873012340669193,-3.4576646691160704,177,100.0,100.0,100.0,99.27695545036002,98.93183963734097,1.2857142857142858,9,100.0,0.2,99.98026467728904,2,3.0,P32_derived_Jv_proxy,100.0,100.0,-0.7230445496399796,-1.0681603626590288,-0.7230445496399796,-1.0681603626590288,0.7230445496399796,1.0681603626590288,0.7230445496399796,1.0681603626590288,177,9,4,173,0.9774011299435028,0.022598870056497175,78.53981633974483,7.0,2.253633994181238,1.2857142857142858,1.2857142857142858,0.05092958178940651,2.2027044123918316,0.37691736089265304,0.3018883050139505,0.07502905587870257,0,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.625868479732762,1.625868479732762,0.32213575044727916,0.7751994439209642,2.393415080481496,81,1.4928083864316917,1.4928083864316917,0.3797885089108068,0.75,2.4015679305334965,81,0.7839745673627838,0.7772247290095319,0.10132556908802029,0.534042146369163,1.0,81,0.9845532428375287,0.9704414837310807,0.27252122245815147,0.5,1.6625981315246559,81,23.72362882437906,21.613434415543995,8.659936935891658,11.816894163874032,54.456703703920375,81,27.22835185196019,27.228351851960188,3.552713678800501e-15,27.228351851960188,27.228351851960188,81
scenario_05_orthogonal_two_sets,56,30,30.5,22.909554577242755,21.233281671785363,26.38582964781201,26.385829647812013,24.28682043051247,23.86174916717897,1.0601175308156285,1.3772658532697157,0.025354016354501407,0.9043395445842143,-2.524080480633039,224,100.0,100.0,100.0,94.11965727097507,98.40417802143001,1.7142857142857142,12,100.0,0.6,99.82704055993037,6,3.0,P32_derived_Jv_proxy,100.0,100.0,-5.880342729024932,-1.5958219785699868,-5.880342729024932,-1.5958219785699868,5.880342729024932,1.5958219785699868,5.880342729024932,1.5958219785699868,224,12,7,217,0.96875,0.03125,78.53981633974483,7.0,2.8520565802067646,1.7142857142857142,1.7142857142857142,0.08912676813146139,2.762929812075303,0.4069754095809729,0.20133668515983416,0.20563872442113873,1,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.6287882157335574,1.6287882157335574,0.3011591696325066,0.8691229701211681,2.408954854224113,81,1.5432414268131807,1.5432414268131807,0.38936255130846165,0.75,2.467794344677267,81,0.7909837137334307,0.8027262606453777,0.09965502542811723,0.5284697563760429,1.0,81,0.9851134274768893,0.9662617085633743,0.2759374895387308,0.5135505301536576,1.6210734816791847,81,22.909554577242755,21.233281671785363,7.178748455982366,10.905182337177884,43.855151548302544,81,26.38582964781201,26.385829647812013,3.552713678800501e-15,26.385829647812013,26.385829647812013,81
scenario_05_orthogonal_two_sets,57,10,10.5,21.291916709561615,19.339025509675963,26.47381031352481,26.473810313524815,20.862329703075208,28.0354529367853,0.9798239391809431,-0.4295870064864076,-0.008851954013003649,1.0589882077708581,1.5616426232604894,199,99.87831494926432,99.87831494926432,99.87831494926432,99.0406055053974,99.02148671569255,1.1428571428571428,8,99.87831494926432,0.5,99.87908957257498,5,3.0,P32_derived_Jv_proxy,100.0,99.87831494926432,-0.8377094438669275,-0.8568282335717754,-0.9593944946026056,-0.9785132843074535,0.8377094438669275,0.8568282335717754,0.9593944946026056,0.9785132843074535,199,8,3,196,0.9849246231155779,0.01507537688442211,78.53981633974483,7.0,2.5337466940229736,1.1428571428571428,1.1428571428571428,0.03819718634205488,2.4955495076809187,0.35410400058379765,0.1633715357861496,0.19073246479764805,1,1,1,1,1,1,99.87831494926432,99.87831494926432,0.0,99.87831494926432,99.87831494926432,81,4.0,4.0,0.0,4.0,4.0,81,1.6340869681139587,1.6340869681139587,0.2742108823740507,0.9605958237309254,2.263419341332899,81,1.5412387839425832,1.5412387839425832,0.3877227720782486,0.75,2.424434054308773,81,0.7675328810866332,0.7781820495681833,0.10397211786747748,0.4939238133708671,0.9771729962436889,81,1.0279861806934314,0.9710968011849007,0.2769149055711802,0.5,1.7197434001525769,81,21.291916709561615,19.339025509675963,6.75499514234282,9.505816276102518,50.089089542161936,81,26.47381031352481,26.473810313524815,3.552713678800501e-15,26.473810313524815,26.473810313524815,81
scenario_05_orthogonal_two_sets,57,20,20.5,22.0446004377097,19.60949114186884,26.906076598148562,26.906076598148573,22.79401857081322,25.376908160427526,1.0339955416847364,0.7494181331035179,0.014518666199034191,0.9431664281433637,-1.5291684377210366,194,99.99999999999997,99.99999999999997,99.99999999999997,99.19649400126639,98.44401687370892,1.4285714285714286,10,99.99999999999997,0.3,99.95588995549635,3,3.0,P32_derived_Jv_proxy,100.0,99.99999999999997,-0.8035059987335842,-1.5559831262910535,-0.8035059987336126,-1.555983126291082,0.8035059987335842,1.5559831262910535,0.8035059987336126,1.555983126291082,194,10,2,192,0.9896907216494846,0.010309278350515464,78.53981633974483,7.0,2.4700847167862157,1.4285714285714286,1.4285714285714286,0.025464790894703253,2.4446199258915122,0.38562046262017424,0.1952490087809704,0.19037145383920384,1,1,1,1,1,1,99.99999999999997,99.99999999999997,0.0,99.99999999999997,99.99999999999997,81,4.0,4.0,0.0,4.0,4.0,81,1.6343411690616838,1.6343411690616838,0.28387808633141365,0.9313801309040217,2.4589306110292393,81,1.5185613955084625,1.5185613955084625,0.38486878247399836,0.75,2.7555745513602505,81,0.8056996426005038,0.8041431732607716,0.0931551154289102,0.5145380159768163,1.0,81,1.0840527989705073,1.0751959818866281,0.3102090218596026,0.5,1.8316133841926443,81,22.0446004377097,19.60949114186884,8.4333551867623,9.286924789320105,50.39776637935449,81,26.906076598148562,26.906076598148573,1.0658141036401503e-14,26.906076598148573,26.906076598148573,81
scenario_05_orthogonal_two_sets,57,30,30.5,22.71226087117794,20.344056222067625,26.035970088532935,26.035970088532935,21.893301619110446,26.098592705149404,0.9639419758027366,-0.8189592520674935,-0.01594910753608425,1.002405234619779,0.06262261661646917,189,100.0,100.0,100.0,98.77546704907013,98.58766739494399,1.5714285714285714,11,100.0,0.0,100.0,0,3.0,P32_derived_Jv_proxy,100.0,100.0,-1.22453295092987,-1.412332605056008,-1.22453295092987,-1.412332605056008,1.22453295092987,1.412332605056008,1.22453295092987,1.412332605056008,189,11,4,185,0.9788359788359788,0.021164021164021163,78.53981633974483,7.0,2.4064227395494573,1.5714285714285714,1.5714285714285714,0.05092958178940651,2.355493157760051,0.3666844284357669,0.2796133000599188,0.08707112837584807,1,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.5876196036529338,1.5876196036529338,0.29078020913166425,0.8643018113265266,2.4408642736139075,81,1.524448290436633,1.524448290436633,0.4027314079066487,0.75,2.656362291256177,81,0.8133236905771883,0.8219256217903097,0.09648548043687577,0.514780940865292,1.0,81,1.0096679254734195,1.0157515080738397,0.26678014344698847,0.5,1.7454823329804523,81,22.71226087117794,20.344056222067625,7.389233482218342,11.020512074099308,42.89610238172032,81,26.035970088532935,26.035970088532935,0.0,26.035970088532935,26.035970088532935,81
scenario_05_orthogonal_two_sets,58,10,10.5,23.680464178743925,22.212173528265787,26.94342989984693,26.943429899846933,28.28156099877284,28.62307597028532,1.1942992664881524,4.601096820028914,0.07711316556990311,1.0623397272241102,1.679646070438391,194,100.0,100.0,100.0,96.33340522999404,97.84951468407732,2.0,14,100.0,0.5,99.87908957257498,5,3.0,P32_derived_Jv_proxy,100.0,100.0,-3.6665947700059576,-2.1504853159226798,-3.6665947700059576,-2.1504853159226798,3.6665947700059576,2.1504853159226798,3.6665947700059576,2.1504853159226798,194,14,8,186,0.9587628865979382,0.041237113402061855,78.53981633974483,7.0,2.4700847167862157,2.0,2.0,0.10185916357881301,2.368225553207403,0.3618319825471116,0.16648794961536884,0.19534403293174274,1,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.6192764993918662,1.6192764993918662,0.2801700632512923,0.9784911600491749,2.4846585242467443,81,1.5024780673906197,1.5024780673906197,0.36761621339482303,0.75,2.3460356198693777,81,0.7945642768717542,0.7908608889832331,0.10042331260478594,0.565290153295367,1.0,81,0.9864336966394676,0.9952123648700024,0.2767350535634709,0.5,1.5851328271450498,81,23.680464178743925,22.212173528265787,8.0338846004209,11.480182349180922,48.667314488827394,81,26.94342989984693,26.943429899846933,3.552713678800501e-15,26.943429899846933,26.943429899846933,81
scenario_05_orthogonal_two_sets,58,20,20.5,23.524386311631325,21.636520491336604,25.990882110464778,25.99088211046478,18.517910501586012,25.120081998841236,0.7871793234593361,-5.006475810045313,-0.10392632187530149,0.9664959385401957,-0.8708001116235415,198,100.0,100.0,100.0,99.64933120776219,99.23197781064826,1.1428571428571428,8,100.0,0.0,100.0,0,3.0,P32_derived_Jv_proxy,100.0,100.0,-0.350668792237812,-0.7680221893517398,-0.350668792237812,-0.7680221893517398,0.350668792237812,0.7680221893517398,0.350668792237812,0.7680221893517398,198,8,3,195,0.9848484848484849,0.015151515151515152,78.53981633974483,7.0,2.521014298575622,1.1428571428571428,1.1428571428571428,0.03819718634205488,2.482817112233567,0.32790222032945526,0.17991927027319643,0.14798295005625883,0,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.5625756841904797,1.5625756841904797,0.30558031324058216,0.801868731347858,2.446984187276678,81,1.5030037048659226,1.5030037048659226,0.4267946479851521,0.75,2.674991132735717,81,0.8139883949857611,0.8200378291660119,0.09967076970262026,0.4418658359336589,1.0,81,0.9742854931556376,0.9741720709796667,0.2638048489653771,0.5,1.6886986498735663,81,23.524386311631325,21.636520491336604,7.562340879369077,10.419867737375467,43.37198328527608,81,25.990882110464778,25.99088211046478,3.552713678800501e-15,25.99088211046478,25.99088211046478,81
scenario_05_orthogonal_two_sets,58,30,30.5,23.513775594847996,22.17208024384719,27.66153437457996,27.661534374579965,22.434118807727323,27.988980432885977,0.9540840737054056,-1.0796567871206726,-0.02041335366326802,1.0118375956254593,0.32744605830601614,168,100.0,100.0,100.0,95.20733619200776,98.05252627233946,1.8571428571428572,13,100.0,0.1,99.99503320866597,1,3.0,P32_derived_Jv_proxy,100.0,100.0,-4.792663807992241,-1.9474737276605367,-4.792663807992241,-1.9474737276605367,4.792663807992241,1.9474737276605367,4.792663807992241,1.9474737276605367,168,13,6,162,0.9642857142857143,0.03571428571428571,78.53981633974483,7.0,2.139042435155073,1.8571428571428572,1.8571428571428572,0.07639437268410976,2.0626480624709633,0.37199983489291,0.2360027221692902,0.1359971127236198,1,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.6040663906799582,1.6040663906799582,0.3187163290289655,0.7934589356074141,2.4310212646502682,81,1.449726512779821,1.449726512779821,0.3910580620134909,0.75,2.6689679371925257,81,0.7824229526264782,0.7733088624105505,0.0864842389868813,0.6256124130614316,0.9971396888583199,81,1.005426175052472,0.9797078229311897,0.3067216535272064,0.5,1.8057045676403,81,23.513775594847996,22.17208024384719,7.326842030881061,12.219638733390774,44.34196274653886,81,27.66153437457996,27.661534374579965,3.552713678800501e-15,27.661534374579965,27.661534374579965,81
scenario_05_orthogonal_two_sets,59,10,10.5,24.96122365592672,22.318076974154316,26.917094507390196,26.9170945073902,24.816511023199666,32.48286741801934,0.9942025024605438,-0.14471263272705315,-0.0025251480533488024,1.2067746542666793,5.565772910629143,205,99.52331992457107,99.52331992457107,99.52331992457107,98.10015293873107,99.66579713139683,0.7142857142857143,5,99.52331992457107,0.5,99.87908957257498,5,3.0,P32_derived_Jv_proxy,100.0,99.52331992457107,-1.4231669858399982,0.1424772068257596,-1.8998470612689289,-0.33420286860317105,1.4231669858399982,0.1424772068257596,1.8998470612689289,0.33420286860317105,205,5,1,204,0.9951219512195122,0.004878048780487805,78.53981633974483,7.0,2.6101410667070835,0.7142857142857143,0.7142857142857143,0.012732395447351627,2.597408671259732,0.3527600258538418,0.3283992605435063,0.024360765310335486,1,1,1,1,1,1,99.52331992457107,99.52331992457107,0.0,99.52331992457107,99.52331992457107,81,4.0,4.0,0.0,4.0,4.0,81,1.5974320446142023,1.5974320446142023,0.29391796508809886,0.8063871694232891,2.295869169437314,81,1.4765871218961975,1.4765871218961975,0.3992854279331202,0.75,2.6552418679822014,81,0.8130405187327883,0.8123228055296912,0.09551365385189381,0.6032056496829452,1.0,81,0.9821721963761928,0.9944736755353183,0.319658413380919,0.5,1.7409281234417469,81,24.96122365592672,22.318076974154316,9.241132412236727,11.402301173541442,50.70810612976204,81,26.917094507390196,26.9170945073902,3.552713678800501e-15,26.9170945073902,26.9170945073902,81
scenario_05_orthogonal_two_sets,59,20,20.5,24.063553710293096,21.119530849184795,26.414160764008894,26.414160764008894,24.202625688781207,25.284424040195002,1.0057793616089474,0.13907197848811137,0.0025027197405558255,0.957229883852557,-1.1297367238138918,171,100.0,100.0,100.0,95.78818739477808,97.5148873935997,1.7142857142857142,12,100.0,0.2,99.98026467728904,2,3.0,P32_derived_Jv_proxy,100.0,100.0,-4.2118126052219225,-2.485112606400307,-4.2118126052219225,-2.485112606400307,4.2118126052219225,2.485112606400307,4.2118126052219225,2.485112606400307,171,12,2,169,0.9883040935672515,0.011695906432748537,78.53981633974483,7.0,2.177239621497128,1.7142857142857142,1.7142857142857142,0.025464790894703253,2.151774830602425,0.34763772008166216,0.2737811669254341,0.07385655315622808,1,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.60017721009839,1.60017721009839,0.29516968840942165,0.8095043399003962,2.616966730690711,81,1.5145069574562646,1.5145069574562646,0.3708185858307998,0.75,2.4683707422138776,81,0.8064984090047714,0.8063037614304853,0.09371386562571783,0.550097108216108,1.0,81,0.9662480803455146,0.9807074574874064,0.2731505887278854,0.5,1.6720256894770706,81,24.063553710293096,21.119530849184795,8.10860617021063,12.365180909030386,45.91272964043743,81,26.414160764008894,26.414160764008894,0.0,26.414160764008894,26.414160764008894,81
scenario_05_orthogonal_two_sets,59,30,30.5,23.60376921886538,21.003782111187732,25.737816653018776,25.73781665301878,16.47858811501683,23.555665061172338,0.6981337583086633,-7.125181103848551,-0.1560613611445929,0.9152161342484932,-2.182151591846438,196,100.0,100.0,100.0,96.18651740813644,98.73667554032262,1.1428571428571428,8,100.0,0.2,99.98026467728904,2,3.0,P32_derived_Jv_proxy,100.0,100.0,-3.8134825918635613,-1.2633244596773778,-3.8134825918635613,-1.2633244596773778,3.8134825918635613,1.2633244596773778,3.8134825918635613,1.2633244596773778,196,8,2,194,0.9897959183673469,0.01020408163265306,78.53981633974483,7.0,2.4955495076809187,1.1428571428571428,1.1428571428571428,0.025464790894703253,2.4700847167862157,0.32752558723862235,0.19305488911312063,0.13447069812550172,0,1,1,1,1,1,100.0,100.0,0.0,100.0,100.0,81,4.0,4.0,0.0,4.0,4.0,81,1.5795547861872092,1.5795547861872092,0.29222916377072816,0.686607322230707,2.35865423051055,81,1.534274262150694,1.534274262150694,0.39353639894748066,0.75,3.408885996043318,81,0.7993147112641963,0.798097197100222,0.08490787298602626,0.6203742123666379,1.0,81,0.9583635068702538,0.9779088975229352,0.2744538001507033,0.5,1.5517615787428731,81,23.60376921886538,21.003782111187732,8.34794769478428,11.568831368024293,46.77969564898977,81,25.737816653018776,25.73781665301878,3.552713678800501e-15,25.73781665301878,25.73781665301878,81
